pub_date	title	venue	type	full_venue	authors	citation	paper_url	code_url	slides_url	video_url	hero_img
2026	The Chosen-Object Attack: Exploiting the Hungarian Matching Loss in Detection Transformers for Fun and Profit	TIFS	Journal	IEEE Transactions on Information Forensics and Security	Tianyi Wang, Cong Wang*, Zhenyu Wen, Ruilong Deng, Yuanchao Shu, Peng Cheng, Jiming Chen						
2025	Human Perception of AI Capabilities at Classifying Perturbed Roadway Signs	THMS	Journal	IEEE Transactions on Human-Machine Systems	Katherine R Garcia, Jing Chen, Yanru Xiao, Scott Mishler, Cong Wang, Bin Hu	in IEEE Transactions on Human-Machine Systems, to be appeared, 2025.					
2025	SENGraph: A Self-Learning Evolutionary and Node-Aware Graph Network for Soft Sensing in Industrial Processes	TNNLS	Journal	IEEE Transactions on Neural Networks and Learning Systems	Feng Yan, Cong Wang, Zichen Wang, Yuhao Shen, Chunjie Yang	in IEEE Transactions on Neural Networks and Learning Systems, to be appeared					
2024	Energy Optimization for Federated Learning on Consumer Mobile Devices With Asynchronous SGD and Application Co-Execution	TMC	Journal	IEEE Transactions on Mobile Computing	Cong Wang, Hongyi Wu	in IEEE Transactions on Mobile Computing, vol. 23, no. 11, pp. 10235-10250, Nov. 2024					
2024	Efficient Vertical Federated Unlearning via Fast Retraining	ACM TOIT	Journal	ACM Transactions on Internet Technology	Zichen Wang, Xiangshan Gao, Cong Wang, Peng Cheng, Jiming Chen	ACM Transactions on Internet Technology, vol. 24, no. 2, Apr. 2024					
2024	PerfTop: Towards performance prediction of distributed learning over general topology	JPDC	Journal	Journal of Parallel and Distributed Computing	Changzhi Yan, Zehan Zhu, Youcheng Niu, Cong Wang, Cheng Zhuo, Jinming Xu	Journal of Parallel and Distributed Computing, vol. 192, Oct. 2024.					
2023	A Framework for Behavioral Biometric Authentication using Deep Metric Learning on Mobile Devices	TMC	Journal	IEEE Transactions on Mobile Computing	Cong Wang, Yanru Xiao, Xing Gao, Li Li, Jun Wang	IEEE Transactions on Mobile Computing, vol. 22, no. 1, pp. 19-36, 1 Jan. 2023	paper/tmc23.pdf				
2023	Design and Optimization of Solar-Powered Shared Electric Autonomous Vehicle System for Smart Cities	TMC	Journal	IEEE Transactions on Mobile Computing	Pengzhan Zhou, Cong Wang, Yuanyuan Yang	IEEE Transactions on Mobile Computing, vol. 22, no. 4, pp. 2053-2068, 1 April 2023					
2022	Economical behavior modeling and analyses for data collection in edge Internet of Things networks	TOSN	Journal	ACM Transactions on Sensor Networks	Yiming Zeng, Pengzhan Zhou, Cong Wang, Ji Liu, Yuanyuan Yang	ACM Transactions on Sensor Networks, vol. 19, no. 2, pp. 1-27, Dec. 2022.					
2021	Towards Efficient Scheduling of Federated Mobile Devices under Computational and Statistical Heterogeneity	TPDS	Journal	IEEE Transactions on Parallel and Distributed Systems	Cong Wang, Yuanyuan Yang, Pengzhan Zhou	IEEE Transactions on Parallel and Distributed Systems, pp. 394-410, vol. 32, Feb. 2021.	https://arxiv.org/abs/2005.12326				
2021	K-level truthful incentivizing mechanism and generalized k-MAB problem	TC	Journal	IEEE Transactions on Computers	Pengzhan Zhou, Xin Wei, Cong Wang, Yuanyuan Yang	IEEE Transactions on Computers, pp. 1724-1739, vol. 71, no. 7, Aug. 2021.					
2021	Design of Self-sustainable Wireless Sensor Networks with Energy Harvesting and Wireless Charging	TOSN	Journal	ACM Transactions on Sensor Networks	Pengzhan Zhou, Cong Wang, Yuanyuan Yang	ACM Transactions on Sensor Networks, vol. 17, issue 4, no.: 45, pp. 1–38, 2021.					
2019	Static and Mobile Target k-Coverage in Wireless Rechargeable Sensor Networks	TMC	Journal	IEEE Transactions on Mobile Computing	Pengzhan Zhou, Cong Wang, Yuanyuan Yang	IEEE Transactions on Mobile Computing, vol. 18, no. 10, pp. 2430-2445, 1 Oct. 2019					
2018	Combining Solar Energy Harvesting with Wireless Charging for Hybrid Wireless Sensor Networks	TMC	Journal	IEEE Transactions on Mobile Computing	Cong Wang, Ji Li, Yuanyuan Yang, Fan Ye	IEEE Transactions on Mobile Computing, vol. 17, no. 3, March 1, 2018					
